kind,id,file,heading,source_id,source_label,auteur,titre,source_year,nature,status,priority,type_unite,source_short_title,annee,dossier_source,fichier_source_original,pages_pdf_exemplaire,statut,titre_article,titre_ouvrage,direction,serie,lieu_edition,editeur,pagination,pages_pdf,fiabilite,fichier_source_recommande,chapitres,chapitres_secondaires,niveau_preuve,citation_directe,date_pdf,partie,note,volume_contenant,isbn,artiste,titre_album,date_sortie_album,label,catalogue,producteurs,source_drive,titre_revue,volume_numero,doi,concepts,auteurs_direction,auteur_alias,note_auteur,date,institution,command_paper,collection,usage,source_url,titre_chapitre,titre_section,publication_connue,pagination_article,collection_ou_imprint,fichier_source,note_s29,auteur_principal,lieu_publication,annee_publication,isbn_paperback,isbn_hardback,isbn_cloth,editeurs,edition,titre_ouvrage_recense,auteur_ouvrage_recense,annee_ouvrage_recense,revue,volume,dossier,date_publication,url,reference_complete,source_origin,arbitrage,prudence,legacy_id,croisements_corpus,distinction_critique,imprint
source,S66,sources/schutte_curtis_lyrics/source.md,"Source S66 — Schütte, « On Ian Curtis's Lyrics », 2018",,"S66 — Schütte, On Ian Curtis's Lyrics, 2018",Uwe Schütte,'Possessed by a Fury That Burns from Inside': On Ian Curtis's Lyrics,2018,chapitre d'ouvrage collectif,,,,"Uwe Schütte, 'Possessed by a Fury That Burns from Inside': On Ian Curtis's Lyrics, 2018",2018,sources/schutte_curtis_lyrics/,,,atomisee,'Possessed by a Fury That Burns from Inside': On Ian Curtis's Lyrics,Heart and Soul: Critical Essays on Joy Division,"Martin J. Power, Eoin Devereux, Aileen Dillane",Popular Musics Matter,,Rowman & Littlefield International,p. 63–80,,forte_comme_lecture_analytique_litteraire_a_croiser_avec_sources_primaires_pour_assertions_biographiques,,,,,,2021-01-15,"PART 2: Ballard, Burroughs, Dostoevsky and Gogol: Literary (and Visual) Influences on Joy Division",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S14,sources/happy_mondays_gods_cop/source.md,"S14 — Happy Mondays, « God’s Cop », 1990",S14,"S14 — Happy Mondays, God’s Cop, 1990",Happy Mondays,God’s Cop,1990,référence discographique / chanson / source musicale primaire éditorialisée,,,,"Happy Mondays, God’s Cop, 1990",1990,sources/happy_mondays_gods_cop/,R-79847-1565780998-8296.jpg,,verifie ; source canonique fixée,,,,,,,,,forte pour l’identification discographique ; paroles et interprétation à vérifier avant citation,S14_happy_mondays_gods_cop_factory_fac334_reference.jpg,"[""Chapitre 1"", ""Chapitre 14""]","[""Chapitre 8""]",source musicale primaire ; référence discographique,False,,,,,,Happy Mondays,Pills ’n’ Thrills and Bellyaches,1990-11-05,Factory Records,FAC 334,"[""Paul Oakenfold"", ""Steve Osborne""]",https://drive.google.com/file/d/11IUb6LwRSZE-1vPhpl-GPRdxkXwSIRh6/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S42,sources/amendola_troianiello_metropoli_spazio_periferico/source.md,"S42 — Source canonique — Amendola & Troianiello, « Metropoli e spazio periferico nell’underground post-punk inglese », 2021",S42,"S42 — Amendola & Troianiello, Metropoli e spazio periferico nell’underground post-punk inglese, 2021",Alfonso Amendola et Novella Troianiello,Metropoli e spazio periferico nell’underground post-punk inglese,2021,,,,source,"Amendola & Troianiello, Metropoli e spazio periferico, 2021",2021,sources/amendola_troianiello_metropoli_spazio_periferico/,Alfonso Amendola e Linda Barone - Our vision touched the sky.pdf,,source canonique fixée,,,,,,,,,,,,,,,,,,"Alfonso Amendola et Linda Barone (dir.), Our Vision Touched the Sky: Fenomenologia dei Joy Division, Roma, Rogas Edizioni, 2021",,,,,,,,https://drive.google.com/file/d/1qyK58ESFhF_yLIULGXV6uIu4lxS2ZNF-/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S49,sources/farci_danza_esistenziale_ian_curtis/source.md,"S49 — Source canonique — Farci, « Here are the Young Men, the weight on their shoulders. La danza esistenziale di Ian Curtis », 2021",S49,"S49 — Farci, Here are the Young Men, the weight on their shoulders, 2021",Manolo Farci,"Here are the Young Men, the weight on their shoulders. La danza esistenziale di Ian Curtis",2021,,,,source,"Farci, Here are the Young Men, the weight on their shoulders, 2021",2021,sources/farci_danza_esistenziale_ian_curtis/,Alfonso Amendola e Linda Barone - Our vision touched the sky.pdf,p. 99-113,source canonique fixée,,,,,Roma,Rogas Edizioni,,,,,,,,,,,,"Alfonso Amendola et Linda Barone (dir.), Our Vision Touched the Sky: Fenomenologia dei Joy Division, Roma, Rogas Edizioni, 2021",9788845294778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S78,sources/nevarez_how_joy_division_came_to_sound_like_manchester/source.md,"S78 — Source canonique — Nevarez, « How Joy Division Came to Sound Like Manchester », 2013",S78,"S78 — Nevarez, How Joy Division Came to Sound Like Manchester, 2013",Leonard Nevarez,How Joy Division Came to Sound Like Manchester: Myth and Ways of Listening in the Neoliberal City,2013,,,,source,"Nevarez, How Joy Division Came to Sound Like Manchester, 2013",2013,sources/nevarez_how_joy_division_came_to_sound_like_manchester/,nevarez-how-joy-division-came-to-sound-like-manchester.pdf,22 pages ; article publié p. 56-76,source canonique fixée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S61,sources/iovane_riccio_trademark_will_tear_us_apart/source.md,"S61 — Source canonique — Iovane & Riccio, « Trademark will tear us apart again », 2021",S61,"S61 — Iovane & Riccio, Trademark will tear us apart again, 2021",Giada Iovane ; Giovanni Maria Riccio,Trademark will tear us apart again. A proposito di marchi di impresa e nomi di gruppi musicali: il caso Joy Division,2021,,,,source,"Iovane & Riccio, Trademark will tear us apart again, 2021",2021,sources/iovane_riccio_trademark_will_tear_us_apart/,Alfonso Amendola e Linda Barone - Our vision touched the sky.pdf,p. 287-307 de l’exemplaire PDF de travail,source canonique fixée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S34,sources/fraser_fuoto_manchester_1976/source.md,"S34 — Fraser & Fuoto, « Manchester, 1976 », 2012",S34,"S34 — Fraser & Fuoto, Manchester, 1976, 2012",Benjamin Fraser ; Abby Fuoto,"Manchester, 1976: Documenting the urban nature of Joy Division’s musical production",2012,article universitaire / études urbaines et musicales,,,,"Fraser & Fuoto, Manchester, 1976, 2012",2012,sources/fraser_fuoto_manchester_1976/,"Benjamin Fraser, Abby Fuoto - Manchester 1976, documenting the urban nature of joy division’s musical production.pdf",,verifie ; source canonique fixée ; PDF fourni et identifié,"Manchester, 1976: Documenting the urban nature of Joy Division’s musical production",,,,,Intellect Ltd,p. 139-154,,"forte comme source critique interdisciplinaire ; à croiser pour les faits biographiques, les lectures de chansons et les références au documentaire de Grant Gee",S34_fraser_fuoto_manchester_1976_punk_post_punk_2012.pdf,"[""Chapitre 1"", ""Chapitre 3"", ""Chapitre 13""]","[""Chapitre 7"", ""Chapitre 8"", ""Chapitre 14""]","source secondaire universitaire / lecture critique croisant urban studies, musicologie populaire et analyse filmique",False,,,,,,,,,,,,https://drive.google.com/file/d/1U5-_0Hu4z1cKTsVCtOXa1g7HZem0Vvxn/view?usp=drive_link,Punk & Post-Punk,1 (2),10.1386/punk.1.2.139_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S69,sources/greig_strong/source.md,Métadonnées,S69,"S69 — Greig & Strong, But We Remember When We Were Young, 2014",Alastair Greig ; Catherine Strong,But We Remember When We Were Young,2014,,,,source,"Greig & Strong, But We Remember When We Were Young, 2014",,,,,verifie,,,,,,,,,forte,,"[""Chapitre 9"", ""Chapitre 10"", ""Chapitre 11"", ""Chapitre 14""]",,,False,,,,,,,,,,,,,,,,"[""nostalgie"", ""mémoire culturelle"", ""joy division"", ""médias de masse""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S26,sources/butt_eshun_fisher_post_punk_then_now/source.md,"S26 — Butt, Eshun & Fisher (dir.), *Post-Punk Then and Now*, 2016",S26,"S26 — Butt, Eshun & Fisher (dir.), Post-Punk Then and Now, 2016",Gavin Butt ; Kodwo Eshun ; Mark Fisher (dir.),Post-Punk Then and Now,2016,ouvrage collectif / études culturelles / actes de conférences et conversations,,,,"Butt, Eshun & Fisher, Post-Punk Then and Now, 2016",2016,sources/butt_eshun_fisher_post_punk_then_now/,Gavin Butt - Post-Punk Then and Now.pdf,,verifie ; source canonique fixée,,,,,London,Repeater Books,,,forte comme source critique ; à distinguer selon les chapitres et locuteurs,S26_butt_eshun_fisher_post_punk_then_now_2016.pdf,"[""Chapitre 1"", ""Chapitre 3"", ""Chapitre 7"", ""Chapitre 8"", ""Chapitre 14""]","[""Chapitre 2"", ""Chapitre 9"", ""Chapitre 11""]",source secondaire critique / source orale éditorialisée,False,,,,,,,,,,,,,,,,,"[""Gavin Butt"", ""Kodwo Eshun"", ""Mark Fisher""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S15,sources/deluca_manchester_punk_threshold/source.md,"S15 — De Luca, The Sound and the Fury, 2021",S15,"S15 — De Luca, The Sound and the Fury, 2021",Daniele De Luca,"The Sound and the Fury. Manchester, i Joy Division e la crisi sociopolitica dell’Inghilterra degli anni Settanta",2021,article d’ouvrage collectif / source critique historico-culturelle,,,,"De Luca, The Sound and the Fury, 2021",2021,,,,atomisee,"The Sound and the Fury. Manchester, i Joy Division e la crisi sociopolitica dell’Inghilterra degli anni Settanta",Our Vision Touched the Sky: Fenomenologia dei Joy Division,Alfonso Amendola ; Linda Barone,,Roma,Rogas Edizioni,,54-63,"forte pour l’analyse critique ; à croiser pour les faits historiques, la date des concerts, les participants et les détails biographiques",S15_deluca_the_sound_and_the_fury_2021.pdf,"[""Chapitre 1"", ""Chapitre 2"", ""Chapitre 3""]","[""Chapitre 7"", ""Chapitre 14""]",source secondaire critique / lecture historico-culturelle,False,,,,,9788845294778,,,,,,,https://drive.google.com/file/d/1i4yRFXBFMrCey2N9eAQs5qJJfGe9Wssf/view?usp=drive_link,,,,,,"[""Daniele DeLuca""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S58,sources/ilardi_ian_curtis_is_not_dead/source.md,"S58 — Source canonique — Ilardi, « Ian Curtis is not dead », 2021",S58,"S58 — Ilardi, Ian Curtis is not dead, 2021",Emiliano Ilardi,Ian Curtis is not dead. Dalla Factory Records ai rave nelle factories,2021,,,,source,"Ilardi, Ian Curtis is not dead, 2021",2021,sources/ilardi_ian_curtis_is_not_dead/,Alfonso Amendola e Linda Barone - Our vision touched the sky.pdf,p. 266-279 de l’exemplaire PDF de travail,source canonique fixée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S64,sources/botta_european_imaginary/source.md,"Source S64 — Bottà, « The European Imaginary of Joy Division », 2018",,"S64 — Bottà, European Imaginary of Joy Division, 2018",Giacomo Bottà,"Trying to Find a Clue, Trying to Find a Way to Get Out! The European Imaginary of Joy Division",2018,chapitre d'ouvrage collectif,,,,"Giacomo Bottà, Trying to Find a Clue, Trying to Find a Way to Get Out! The European Imaginary of Joy Division, 2018",2018,sources/botta_european_imaginary/,,,atomisee,"Trying to Find a Clue, Trying to Find a Way to Get Out! The European Imaginary of Joy Division",Heart and Soul: Critical Essays on Joy Division,"Martin J. Power, Eoin Devereux, Aileen Dillane",Popular Musics Matter,,Rowman & Littlefield International,p. 33–46,,forte comme cadrage analytique et géographique ; données événementielles à croiser avec S41 et S45,,,,,,2021-01-15,"PART 2: Ballard, Burroughs, Dostoevsky and Gogol: Literary (and Visual) Influences on Joy Division",,,,,,,,,,,,,,,,,"Giacomo Bottà est aussi l'auteur du volume Deindustrialization and Popular Music in 1980s Urban Europe (Rowman & Littlefield, à paraître) dans la même série Popular Musics Matter.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S53,sources/la_rocca_immagini_simboli_incarnazione_mitica/source.md,"S53 — Source canonique — La Rocca, « Immagini e simboli nell’incarnazione mitica dei Joy Division », 2021",S53,"S53 — La Rocca, Immagini e simboli nell’incarnazione mitica dei Joy Division, 2021",Fabio La Rocca,Immagini e simboli nell’incarnazione mitica dei Joy Division,2021,,,,source,"La Rocca, Immagini e simboli nell’incarnazione mitica, 2021",2021,sources/la_rocca_immagini_simboli_incarnazione_mitica/,Alfonso Amendola e Linda Barone - Our vision touched the sky.pdf,p. 158-169,source canonique fixée,,,,,Roma,Rogas Edizioni,,,,,,,,,,,,"Alfonso Amendola et Linda Barone (dir.), Our Vision Touched the Sky: Fenomenologia dei Joy Division, Roma, Rogas Edizioni, 2021",9788845294778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S11,sources/uk_treasury_fsbr_1987_88/source.md,"S11 — HM Treasury, *Financial Statement and Budget Report 1987-88*, 1987",S11,"S11 — HM Treasury, Financial Statement and Budget Report 1987-88, 1987",HM Treasury,Financial Statement and Budget Report 1987-88,1987,source primaire gouvernementale / source budgétaire et macroéconomique,,,,"HM Treasury, FSBR 1987-88, 1987",1987,sources/uk_treasury_fsbr_1987_88/,Financial-Statement-and-Budget-Report-1987-88.pdf,,verifie ; source canonique fixée,,,,,London,Her Majesty’s Stationery Office,,,forte pour les données et le cadrage gouvernemental 1987 ; à contextualiser politiquement,S11_hm_treasury_fsbr_1987_88.pdf,"[""Chapitre 1""]","[""Chapitre 14""]",source primaire gouvernementale contemporaine,False,,,,,,,,,,,,https://drive.google.com/file/d/12QIyJ7ItW_ofLl6M-gOuqGkkX7vPaPz6/view?usp=drive_link,,,,,,,,1987-03-17,HM Treasury,House of Commons No. 194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S65,sources/martinez_literary_influences_jd/source.md,"Source S65 — Martínez, « Literary Influences on Joy Division: Ballard, Kafka, Dostoevsky », 2018",,"S65 — Martínez, Literary Influences on Joy Division, 2018",Sara Martínez,"Literary Influences on Joy Division: J. G. Ballard, Franz Kafka, Dostoevsky",2018,chapitre d'ouvrage collectif,,,,"Sara Martínez, Literary Influences on Joy Division: J. G. Ballard, Franz Kafka, Dostoevsky, 2018",2018,sources/martinez_literary_influences_jd/,,,atomisee,"Literary Influences on Joy Division: J. G. Ballard, Franz Kafka, Dostoevsky",Heart and Soul: Critical Essays on Joy Division,"Martin J. Power, Eoin Devereux, Aileen Dillane",Popular Musics Matter,,Rowman & Littlefield International,p. 47–62,,forte_comme_lecture_analytique_a_croiser_avec_sources_primaires_pour_citations_directes,,,,,,2021-01-15,"PART 2: Ballard, Burroughs, Dostoevsky and Gogol: Literary (and Visual) Influences on Joy Division",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S75,sources/ott_unknown_pleasures/README.md,"S75 — Ott, Joy Division's Unknown Pleasures, 2004",,"S75 — Ott, Joy Division's Unknown Pleasures, 2004",Chris Ott,Joy Division's Unknown Pleasures,2004,,,,metadata,"Chris Ott, Joy Division's Unknown Pleasures, 2004",2004,,,,source canonique créée ; à atomiser sélectivement v2,,,,,,Continuum Publishing Group,,,,,,,,,,,,,0826415490,,,,,,,,,,,,,,,,,,33 1/3,Unknown Pleasures ; Martin Hannett ; production ; sessions ; son ; mythes de studio ; réception critique ; déconstruction fact/fiction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S19,sources/bourdieu_trois_etats_capital_culturel/source.md,"S19 — Source canonique — Bourdieu, « Les trois états du capital culturel », 1979",S19,"S19 — Bourdieu, Les trois états du capital culturel, 1979",Pierre Bourdieu,Les trois états du capital culturel,1979,,,,source,"Bourdieu, Les trois états du capital culturel, 1979",1979,sources/bourdieu_trois_etats_capital_culturel/,arss_0335-5322_1979_num_30_1_2654.pdf,7 pages ; article p. 3-6 de la revue,source canonique refixée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,S83,sources/greenwood_tarpey_hannett_architecture/source.md,"Source S83 — Greenwood & Tarpey, « Manchester, Martin Hannett and Joy Division's Pungent Architecture », 2018",,"S83 — Greenwood & Tarpey, Manchester, Hannett and Joy Division's Pungent Architecture, 2018","John S. Greenwood, Paul Tarpey","Manchester, Martin Hannett and Joy Division's Pungent Architecture",2018,chapitre d'ouvrage collectif,,,,"John S. Greenwood, Paul Tarpey, Manchester, Martin Hannett and Joy Division's Pungent Architecture, 2018",2018,sources/greenwood_tarpey_hannett_architecture/,,,atomisee,"Manchester, Martin Hannett and Joy Division's Pungent Architecture",Heart and Soul: Critical Essays on Joy Division,"Martin J. Power, Eoin Devereux, Aileen Dillane",Popular Musics Matter,,Rowman & Littlefield International,p. 155–170,,haute,,,,,,2021-01-15,"PART 4: Interzone: Sounds, Images and Style",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
