kind,id,file,heading,song,period,themes,sources,chapters,certainty,type_unite,source_id,usage,chapitres,source_label,source_short_title,source_year,titre_fr,fonction_s29,related_atoms,related_concepts,notes,related_myths,canonical_song,slug,category,status,albums,aliases,include_variants,exclude,separate_from,fonction_s75,related_motifs,type,writers,keywords,production,live_history,lyrics,related_quotes,contradictions,related_events,related_people,fonction_s34
song,SONG-S55-JOY_DIVISION,registers/s55_romania_specialized_registers.md,Chansons / albums / catégories musicales,Joy Division,,,,,,song,S55,"Non pas une chanson, mais entrée groupe utilisée ici comme référence critique globale ; à traiter comme catégorie symbolique.","[""Chapitre 6"", ""Chapitre 8"", ""Chapitre 9"", ""Chapitre 14""]","S55 — Romania, A guide to come: i Joy Division come universo simbolico, 2021","Vincenzo Romania, A guide to come: i Joy Division come universo simbolico. Una ricerca sulle recensioni musicali, 2021",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S60-TRANSMISSION,registers/s60_federici_specialized_registers.md,"Albums, chansons, objets",Transmission,,,,,,song,S60,"Chanson mobilisée par Federici autour de communication, répétition, représentation et composition.","[""Chapitre 4"", ""Chapitre 10""]","S60 — Federici, Unknown Pleasures: Pulsar di una t-shirt iconica, 2021","Raffaele Federici, Unknown Pleasures: Pulsar di una t-shirt iconica, 2021",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S60-DUB-WILL-TEAR-US-APART,registers/s60_federici_specialized_registers.md,"Albums, chansons, objets",Dub Will Tear Us Apart,,,,,,song_or_project,S60,Projet Jäh Division utilisé comme réemploi dub et chromatique de l’imaginaire Joy Division.,"[""Chapitre 10"", ""Chapitre 14""]","S60 — Federici, Unknown Pleasures: Pulsar di una t-shirt iconica, 2021","Raffaele Federici, Unknown Pleasures: Pulsar di una t-shirt iconica, 2021",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S50-SHADOWPLAY,registers/s50_bertetti_morreale_specialized_registers.md,"Lieux, organisations et chansons",Shadowplay,,,,,,song,S50,"Vidéo Reimagined de Vincent Moon ; danse, rave, transe rituelle et expansion de l’imaginaire.","[""Chapitre 7"", ""Chapitre 14""]","S50 — Bertetti & Morreale, Reimmaginare l’immaginario, 2021","Paolo Bertetti ; Domenico Morreale, Reimmaginare l’immaginario. Traduzioni socio-culturali di un’estetica, 2021",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S50-SHES_LOST_CONTROL,registers/s50_bertetti_morreale_specialized_registers.md,"Lieux, organisations et chansons",She’s Lost Control,,,,,,song,S50,"Vidéo Reimagined de Lorraine Nicholson ; perte de contrôle, crise, tremblement de terre et substitution figurative.","[""Chapitre 4"", ""Chapitre 10"", ""Chapitre 14""]","S50 — Bertetti & Morreale, Reimmaginare l’immaginario, 2021","Paolo Bertetti ; Domenico Morreale, Reimmaginare l’immaginario. Traduzioni socio-culturali di un’estetica, 2021",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S50-INSIGHT,registers/s50_bertetti_morreale_specialized_registers.md,"Lieux, organisations et chansons",Insight,,,,,,song,S50,"Vidéo Reimagined de Makoto Nagahisa ; traduction synesthésique, fabrique-prison, mémoire et libération.","[""Chapitre 7"", ""Chapitre 14""]","S50 — Bertetti & Morreale, Reimmaginare l’immaginario, 2021","Paolo Bertetti ; Domenico Morreale, Reimmaginare l’immaginario. Traduzioni socio-culturali di un’estetica, 2021",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S50-NEW_DAWN_FADES,registers/s50_bertetti_morreale_specialized_registers.md,"Lieux, organisations et chansons",New Dawn Fades,,,,,,song,S50,Vidéo Reimagined de Todd Hido ; cas de stéréotype américain importé et de réduction du potentiel existentiel du morceau.,"[""Chapitre 14""]","S50 — Bertetti & Morreale, Reimmaginare l’immaginario, 2021","Paolo Bertetti ; Domenico Morreale, Reimmaginare l’immaginario. Traduzioni socio-culturali di un’estetica, 2021",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S53-UNKNOWN_PLEASURES,registers/s53_la_rocca_specialized_registers.md,Chansons et albums,Unknown Pleasures,,,,,,song,S53,"Album et image-pochette traités comme symbole générationnel, icône émotionnelle partagée et totem pop.","[""Chapitre 5"", ""Chapitre 10"", ""Chapitre 14""]","S53 — La Rocca, Immagini e simboli nell’incarnazione mitica dei Joy Division, 2021","Fabio La Rocca, Immagini e simboli nell’incarnazione mitica dei Joy Division, 2021",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S53-LOVE_WILL_TEAR_US_APART,registers/s53_la_rocca_specialized_registers.md,Chansons et albums,Love Will Tear Us Apart,,,,,,song,S53,"Formule de retour et de réactivation du mythe ; à manier comme signe de mémoire, non comme explication totale.","[""Chapitre 10"", ""Chapitre 14""]","S53 — La Rocca, Immagini e simboli nell’incarnazione mitica dei Joy Division, 2021","Fabio La Rocca, Immagini e simboli nell’incarnazione mitica dei Joy Division, 2021",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S77-ANARCHY_IN_THE_UK,registers/s77_worley_specialized_registers.md,Chansons / œuvres,Anarchy in the UK,,,,,,song,S77,"Exemple de titre punk où l’anarchie fonctionne d’abord comme signal de rupture et de self-rule, avant stabilisation anarcho-punk.","[""Chapitre 2"", ""Chapitre 8"", ""Chapitre 11""]","S77 — Worley, Punk, Politics and British (fan)zines, 1976–84, 2015","Matthew Worley, ‘While the world was dying, did you wonder why?’: Punk, Politics and British (fan)zines, 1976–84, 2015",2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S77-GOD_SAVE_THE_QUEEN,registers/s77_worley_specialized_registers.md,Chansons / œuvres,God Save the Queen,,,,,,song,S77,"Exemple de réponse critique à la culture nationale et au Jubilé, dans le contexte des symboles de crise.","[""Chapitre 2"", ""Chapitre 8""]","S77 — Worley, Punk, Politics and British (fan)zines, 1976–84, 2015","Matthew Worley, ‘While the world was dying, did you wonder why?’: Punk, Politics and British (fan)zines, 1976–84, 2015",2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S77-WHITE_PUNKS_ON_HOPE,registers/s77_worley_specialized_registers.md,Chansons / œuvres,White Punks on Hope,,,,,,song,S77,Chanson de Crass mobilisée pour comprendre le rejet des politiques traditionnelles au profit d’une formule anarchiste.,"[""Chapitre 8"", ""Chapitre 11""]","S77 — Worley, Punk, Politics and British (fan)zines, 1976–84, 2015","Matthew Worley, ‘While the world was dying, did you wonder why?’: Punk, Politics and British (fan)zines, 1976–84, 2015",2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S57-HEART-AND-SOUL,registers/s57_villani_specialized_registers.md,"Organisations, albums, chansons",Heart and Soul,,,,,,song,S57,Chanson mobilisée pour penser cœur contre loi et intensité non domestiquée.,"[""Chapitre 4"", ""Chapitre 11""]","S57 — Villani, Ti sfido a disperarti, 2021","Massimo Villani, Ti sfido a disperarti. I Joy Division e la notte del pensiero, 2021",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S57-ATROCITY-EXHIBITION,registers/s57_villani_specialized_registers.md,"Organisations, albums, chansons",Atrocity Exhibition,,,,,,song,S57,"Chanson utile pour l’expérience extrême et la tension entre attraction, exposition et sortie du monde ordinaire.","[""Chapitre 6"", ""Chapitre 11""]","S57 — Villani, Ti sfido a disperarti, 2021","Massimo Villani, Ti sfido a disperarti. I Joy Division e la notte del pensiero, 2021",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S57-DECADES,registers/s57_villani_specialized_registers.md,"Organisations, albums, chansons",Decades,,,,,,song,S57,"Chanson utile pour le retour impossible, la mémoire collective et l’immémorial.","[""Chapitre 11"", ""Chapitre 14""]","S57 — Villani, Ti sfido a disperarti, 2021","Massimo Villani, Ti sfido a disperarti. I Joy Division e la notte del pensiero, 2021",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S57-ISOLATION,registers/s57_villani_specialized_registers.md,"Organisations, albums, chansons",Isolation,,,,,,song,S57,Chanson à croiser si l’analyse de l’isolement devient centrale ; S57 ne remplace pas S58 sur isolationnisme.,"[""Chapitre 11"", ""Chapitre 12""]","S57 — Villani, Ti sfido a disperarti, 2021","Massimo Villani, Ti sfido a disperarti. I Joy Division e la notte del pensiero, 2021",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S54-DIGITAL,registers/s54_gnocchi_specialized_registers.md,Chansons et œuvres,Digital,,,,,,song,S54,"Exemple majeur de rapprochement avec Burroughs, Naked Lunch, The Job, répétition, clôture et logique digitale.","[""Chapitre 4"", ""Chapitre 11""]","S54 — Gnocchi, Interzona. Burroughs e Ballard nei testi di Ian Curtis, 2021","Alessandro Gnocchi, Interzona. Burroughs e Ballard nei testi di Ian Curtis, 2021",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S54-INTERZONE,registers/s54_gnocchi_specialized_registers.md,Chansons et œuvres,Interzone,,,,,,song,S54,"Titre burroughsien lu comme zone psychique et espace de passage, avec prudence sur les liens directs.","[""Chapitre 4"", ""Chapitre 11"", ""Chapitre 14""]","S54 — Gnocchi, Interzona. Burroughs e Ballard nei testi di Ian Curtis, 2021","Alessandro Gnocchi, Interzona. Burroughs e Ballard nei testi di Ian Curtis, 2021",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S54-EXERCISE_ONE,registers/s54_gnocchi_specialized_registers.md,Chansons et œuvres,Exercise One,,,,,,song,S54,"Exemple majeur de rapprochement avec Crash : cicatrices, voiture, technologie, corps et désir.","[""Chapitre 4"", ""Chapitre 11""]","S54 — Gnocchi, Interzona. Burroughs e Ballard nei testi di Ian Curtis, 2021","Alessandro Gnocchi, Interzona. Burroughs e Ballard nei testi di Ian Curtis, 2021",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S54-ATROCITY_EXHIBITION,registers/s54_gnocchi_specialized_registers.md,Chansons et œuvres,Atrocity Exhibition,,,,,,song,S54,"Exemple majeur de rapprochement avec The Atrocity Exhibition de Ballard : médias, violence et exposition intérieure du désastre.","[""Chapitre 4"", ""Chapitre 11""]","S54 — Gnocchi, Interzona. Burroughs e Ballard nei testi di Ian Curtis, 2021","Alessandro Gnocchi, Interzona. Burroughs e Ballard nei testi di Ian Curtis, 2021",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S54-TWENTY_FOUR_HOURS,registers/s54_gnocchi_specialized_registers.md,Chansons et œuvres,Twenty Four Hours,,,,,,song,S54,Exemple de temporalité suspendue et de présent dilaté dans les textes tardifs de Curtis.,"[""Chapitre 4"", ""Chapitre 6"", ""Chapitre 12""]","S54 — Gnocchi, Interzona. Burroughs e Ballard nei testi di Ian Curtis, 2021","Alessandro Gnocchi, Interzona. Burroughs e Ballard nei testi di Ian Curtis, 2021",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S54-HEART_AND_SOUL,registers/s54_gnocchi_specialized_registers.md,Chansons et œuvres,Heart and Soul,,,,,,song,S54,Exemple de temporalité suspendue et de présent perpétuel ; à articuler avec Closer et l’analyse non téléologique.,"[""Chapitre 4"", ""Chapitre 6"", ""Chapitre 12""]","S54 — Gnocchi, Interzona. Burroughs e Ballard nei testi di Ian Curtis, 2021","Alessandro Gnocchi, Interzona. Burroughs e Ballard nei testi di Ian Curtis, 2021",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S54-THE_ETERNAL,registers/s54_gnocchi_specialized_registers.md,Chansons et œuvres,The Eternal,,,,,,song,S54,Exemple majeur d’intemporalité suspensive et de méditation sur permanence / impermanence.,"[""Chapitre 4"", ""Chapitre 6"", ""Chapitre 12""]","S54 — Gnocchi, Interzona. Burroughs e Ballard nei testi di Ian Curtis, 2021","Alessandro Gnocchi, Interzona. Burroughs e Ballard nei testi di Ian Curtis, 2021",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S54-JOHNNY_23,registers/s54_gnocchi_specialized_registers.md,Chansons et œuvres,Johnny 23,,,,,,song,S54,"Chanson écartée, rapprochée d’un récit de Burroughs ; usage prudent car corpus et statut doivent être vérifiés.","[""Chapitre 4""]","S54 — Gnocchi, Interzona. Burroughs e Ballard nei testi di Ian Curtis, 2021","Alessandro Gnocchi, Interzona. Burroughs e Ballard nei testi di Ian Curtis, 2021",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S49-DISORDER,registers/s49_farci_specialized_registers.md,Chansons,Disorder,,,,,,song,S49,Question de la normalité masculine et des plaisirs d’un homme normal ; paroles à vérifier avant citation.,"[""Chapitre 4"", ""Chapitre 11""]","S49 — Farci, Here are the Young Men, the weight on their shoulders, 2021","Manolo Farci, Here are the Young Men, the weight on their shoulders. La danza esistenziale di Ian Curtis, 2021",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S49-SHES_LOST_CONTROL,registers/s49_farci_specialized_registers.md,Chansons,She’s Lost Control,,,,,,song,S49,"Performance BBC, désérotisation du corps rock, transfert de la maladie vers une figure féminine.","[""Chapitre 4"", ""Chapitre 12"", ""Chapitre 13""]","S49 — Farci, Here are the Young Men, the weight on their shoulders, 2021","Manolo Farci, Here are the Young Men, the weight on their shoulders. La danza esistenziale di Ian Curtis, 2021",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S49-DECADES,registers/s49_farci_specialized_registers.md,Chansons,Decades,,,,,,song,S49,Conclusion sur les jeunes hommes et le poids d’eux-mêmes ; mélodica et référence Augustus Pablo à vérifier.,"[""Chapitre 6"", ""Chapitre 11""]","S49 — Farci, Here are the Young Men, the weight on their shoulders, 2021","Manolo Farci, Here are the Young Men, the weight on their shoulders. La danza esistenziale di Ian Curtis, 2021",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S21-JOY_DIVISION,registers/s21_mdmarchive_city_fun_specialized_registers.md,Chansons / groupes,Joy Division,,,,,,song,S21,Le groupe ne doit être mobilisé via S21 que si un item City Fun ou MDMArchive le mentionne explicitement.,"[""Chapitre 2"", ""Chapitre 8"", ""Chapitre 14""]","S21 — MDMArchive, City Fun: The Hidden History of Manchester's Favourite Fanzine, page consultée 2026","Manchester Digital Music Archive, City Fun: The Hidden History of Manchester's Favourite Fanzine, s.d. / page consultée 2026",s.d. / page consultée 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S21-THE_FALL,registers/s21_mdmarchive_city_fun_specialized_registers.md,Chansons / groupes,The Fall,,,,,,song,S21,Groupe voisin de la scène mancunienne pouvant apparaître dans City Fun ; à citer seulement depuis un item précis.,"[""Chapitre 2"", ""Chapitre 8""]","S21 — MDMArchive, City Fun: The Hidden History of Manchester's Favourite Fanzine, page consultée 2026","Manchester Digital Music Archive, City Fun: The Hidden History of Manchester's Favourite Fanzine, s.d. / page consultée 2026",s.d. / page consultée 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S59-TRANSMISSION,registers/s59_ferrara_specialized_registers.md,"Albums, chansons et médias",Transmission,,,,,,song,S59,Chanson mobilisée pour le toucher à distance et les métaphores spatiales.,"[""Chapitre 4"", ""Chapitre 11"", ""Chapitre 14""]","S59 — Ferrara, Joy Division: una poetica della distanza, 2021","Francesca Ferrara, Joy Division: una poetica della distanza, 2021",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S59-NEW-DAWN-FADES,registers/s59_ferrara_specialized_registers.md,"Albums, chansons et médias",New Dawn Fades,,,,,,song,S59,"Chanson mobilisée pour admirer la distance et penser la relation paradoxale entre regard, espace et affect.","[""Chapitre 4"", ""Chapitre 11"", ""Chapitre 14""]","S59 — Ferrara, Joy Division: una poetica della distanza, 2021","Francesca Ferrara, Joy Division: una poetica della distanza, 2021",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S59-ISOLATION,registers/s59_ferrara_specialized_registers.md,"Albums, chansons et médias",Isolation,,,,,,song,S59,"Chanson mobilisable pour la distance affective, l’éloignement et la tension présence / absence.","[""Chapitre 11"", ""Chapitre 12""]","S59 — Ferrara, Joy Division: una poetica della distanza, 2021","Francesca Ferrara, Joy Division: una poetica della distanza, 2021",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S59-THE-ETERNAL,registers/s59_ferrara_specialized_registers.md,"Albums, chansons et médias",The Eternal,,,,,,song,S59,"Chanson mobilisable pour la froideur, l’espace, la lenteur et l’architecture de l’absence.","[""Chapitre 6"", ""Chapitre 11""]","S59 — Ferrara, Joy Division: una poetica della distanza, 2021","Francesca Ferrara, Joy Division: una poetica della distanza, 2021",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S59-LOVE-WILL-TEAR-US-APART,registers/s59_ferrara_specialized_registers.md,"Albums, chansons et médias",Love Will Tear Us Apart,,,,,,song,S59,Chanson liée à la distance affective et à la tension de présence / séparation ; paroles à vérifier avant citation.,"[""Chapitre 4"", ""Chapitre 12""]","S59 — Ferrara, Joy Division: una poetica della distanza, 2021","Francesca Ferrara, Joy Division: una poetica della distanza, 2021",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S78-UNKNOWN_PLEASURES,registers/s78_nevarez_specialized_registers.md,Chansons / albums / films,Unknown Pleasures,,,,,,song,S78,Objet central de S78 ; album entendu rétrospectivement comme mindscape et soundscape de Manchester.,"[""Chapitre 3"", ""Chapitre 10"", ""Chapitre 13"", ""Chapitre 14""]","S78 — Nevarez, How Joy Division Came to Sound Like Manchester, 2013","Leonard Nevarez, How Joy Division Came to Sound Like Manchester: Myth and Ways of Listening in the Neoliberal City, 2013",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S78-SHADOWPLAY,registers/s78_nevarez_specialized_registers.md,Chansons / albums / films,Shadowplay,,,,,,song,S78,Chanson utilisée dans What’s On avec projection urbaine ; à lire avec prudence contre l’illustration psychogéographique littérale.,"[""Chapitre 3"", ""Chapitre 13""]","S78 — Nevarez, How Joy Division Came to Sound Like Manchester, 2013","Leonard Nevarez, How Joy Division Came to Sound Like Manchester: Myth and Ways of Listening in the Neoliberal City, 2013",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S78-LOVE_WILL_TEAR_US_APART,registers/s78_nevarez_specialized_registers.md,Chansons / albums / films,Love Will Tear Us Apart,,,,,,song,S78,Chanson posthume devenue chiffre populaire du suicide de Curtis et du recentrage mémoriel sur sa persona.,"[""Chapitre 12"", ""Chapitre 14""]","S78 — Nevarez, How Joy Division Came to Sound Like Manchester, 2013","Leonard Nevarez, How Joy Division Came to Sound Like Manchester: Myth and Ways of Listening in the Neoliberal City, 2013",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S78-ATMOSPHERE,registers/s78_nevarez_specialized_registers.md,Chansons / albums / films,Atmosphere,,,,,,song,S78,Clip de Corbijn pour Substance ; visualisation posthume fantastique et noire et blanche du culte Curtis.,"[""Chapitre 5"", ""Chapitre 14""]","S78 — Nevarez, How Joy Division Came to Sound Like Manchester, 2013","Leonard Nevarez, How Joy Division Came to Sound Like Manchester: Myth and Ways of Listening in the Neoliberal City, 2013",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S31-LIVING-IN-THE-ICE-AGE,registers/s31_allegri_specialized_registers.md,"Lieux, albums, chansons",Living in the Ice Age,,,,,,song,S31,"Motif-titre du chapitre ; climat sonore, froid historique et métaphore du futur gelé.","[""Chapitre 6"", ""Chapitre 11""]","S31 — Allegri, Living in the Ice Age, 2021","Giuseppe Allegri, Living in the Ice Age. Joy Division: un’impresa comune tra post-situazionismo e isolazionismo, 2021",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S31-NEW-DAWN-FADES,registers/s31_allegri_specialized_registers.md,"Lieux, albums, chansons",New Dawn Fades,,,,,,song,S31,"Exemple de basse obscure, batterie abandonnée et architecture froide d’Unknown Pleasures.","[""Chapitre 6""]","S31 — Allegri, Living in the Ice Age, 2021","Giuseppe Allegri, Living in the Ice Age. Joy Division: un’impresa comune tra post-situazionismo e isolazionismo, 2021",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S31-I-REMEMBER-NOTHING,registers/s31_allegri_specialized_registers.md,"Lieux, albums, chansons",I Remember Nothing,,,,,,song,S31,"Exemple du vide, des échos et du loop final dans la lecture sonore d’Allegri.","[""Chapitre 6""]","S31 — Allegri, Living in the Ice Age, 2021","Giuseppe Allegri, Living in the Ice Age. Joy Division: un’impresa comune tra post-situazionismo e isolazionismo, 2021",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S56-PASSOVER,registers/s56_barone_specialized_registers.md,"Acteurs, lieux, organisations, chansons",Passover,,,,,,song,S56,"Chanson-pivot de crise, doute et rupture d’équilibre dans la lecture de Barone.","[""Chapitre 4"", ""Chapitre 11"", ""Chapitre 12""]","S56 — Barone, Directionless so plain to see, 2021","Linda Barone, Directionless so plain to see. (Di)Versioni stilistiche, letterarie e traduttive, 2021",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S56-NOVELTY,registers/s56_barone_specialized_registers.md,"Acteurs, lieux, organisations, chansons",Novelty,,,,,,song,S56,Texte attribué à Peter Hook utilisé par Barone comme contraste stylistique avec le mind style de Curtis.,"[""Chapitre 4"", ""Chapitre 6""]","S56 — Barone, Directionless so plain to see, 2021","Linda Barone, Directionless so plain to see. (Di)Versioni stilistiche, letterarie e traduttive, 2021",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song,SONG-S56-DISORDER,registers/s56_barone_specialized_registers.md,"Acteurs, lieux, organisations, chansons",Disorder,,,,,,song,S56,Titre d’Unknown Pleasures et matrice de We Were Strangers ; à manier sans citation lyrique non vérifiée.,"[""Chapitre 4"", ""Chapitre 8""]","S56 — Barone, Directionless so plain to see, 2021","Linda Barone, Directionless so plain to see. (Di)Versioni stilistiche, letterarie e traduttive, 2021",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
