kind,id,file,heading,source_id,source_label,coverage,chapters,nature,status,priority,source_author,source_title,preuve,usage,prudence,source_short_title,source_year,workflow,date_integration,passage_atomise,statut_citationnel,article_author,article_title,volume,article_authors,version,date_atomisation,atomes,type,date_creation,type_unite,statut,fiabilite,atomes_source,dossier_source,source_drive,fichier_source_original,volume_contenant,auteur,titre,citation_directe,pages_pdf,annee_publication_en_ligne,annee_volume,source_url,fichier_source_recommande,publication,volume_numero,pagination,doi,licence,chapitres,chapitres_secondaires,niveau_preuve,pages_livre,passage,song_id,canonical_song,editeur,note_passage,distinct_from,atoms_file,relations_ids,atomisation_integrale,nb_atomes,nb_relations,previous_source_id,previous_source_redirect,source_id_requested_initially,titre_chapitre,titre_ouvrage,annee,edition,pages_utiles_pdf,source_auteur,source_titre,next_pass,source_part,date_revision,couverture,date_passe,legacy_id,relations,relations_file,note_numerotation,book_title,proof_level,date,identifiant_archive,publication_principale,pieces_incluses,auteur_section_manchester,section_utile,pages_utiles,section,annee_originale,annee_edition_us,source_fichier,lieu_edition,eisbn,titre_article,direction
metadata,NO_ID::sources/bertetti_morreale_reimmaginare_immaginario/source.md::129,sources/bertetti_morreale_reimmaginare_immaginario/source.md,9. Consignes pour les futurs atomes,S50,"S50 — Bertetti & Morreale, Reimmaginare l’immaginario, 2021",,,,,,,,"source secondaire critique / media studies, sémiotique, sociologie de l’imaginaire et des pratiques fan",Unknown Pleasures Reimagined ; héritage audiovisuel ; imaginaire collectif ; traduction intersémiotique ; fans ; YouTube ; patrimonialisation ; réinterprétation contemporaine,"ne pas utiliser comme source primaire sur 1979-1980 ; vérifier les liens, vidéos et informations web ; croiser les paroles, images historiques, crédits et dates ; distinguer projet industriel, intention curatoriale, réception fan et analyse sémiotique","Paolo Bertetti ; Domenico Morreale, Reimmaginare l’immaginario. Traduzioni socio-culturali di un’estetica, 2021",2021,,,,,,Reimmaginare l’immaginario. Traduzioni socio-culturali di un’estetica,Our Vision Touched the Sky: Fenomenologia dei Joy Division,Paolo Bertetti ; Domenico Morreale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metadata,NO_ID::sources/bourdieu_trois_etats_capital_culturel/source.md::228,sources/bourdieu_trois_etats_capital_culturel/source.md,9. Consignes pour les futurs atomes,S19,"S19 — Bourdieu, Les trois états du capital culturel, 1979",,,,,,Pierre Bourdieu,Les trois états du capital culturel,"source théorique / sociologie de la culture, capital culturel, transmission, appropriation, titres scolaires, reproduction sociale",capital culturel incorporé ; capital culturel objectivé ; capital culturel institutionnalisé ; habitus ; transmission domestique ; appropriation symbolique ; biens culturels ; titres scolaires ; distinction entre possession et compétence ; patrimonialisation culturelle,ne pas utiliser comme source directe sur Joy Division ; distinguer typologie théorique et application au corpus ; croiser les usages musicaux et sous-culturels avec les sources spécialisées,"Pierre Bourdieu, Les trois états du capital culturel, 1979",1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metadata,NO_ID::sources/breyley_iranian_musicians_jd/atoms_s86_breyley_iranian_musicians.md::229,sources/breyley_iranian_musicians_jd/atoms_s86_breyley_iranian_musicians.md,"Atomes v2 — S86 — Breyley, « 'I Hung around in Your Soundtrack' : Affinities with Joy Division among Contemporary Iranian Musicians », 2018",S86,"S86 — Breyley, Iranian Musicians and Joy Division, 2018",,,,,,,,,,,"Gay Jennifer Breyley, 'I Hung around in Your Soundtrack': Affinities with Joy Division among Contemporary Iranian Musicians, 2018",2018,,,,,,,,,v2,2026-05-26,"[""S86-A001"", ""S86-A002"", ""S86-A003"", ""S86-A004"", ""S86-A005"", ""S86-A006"", ""S86-A007"", ""S86-A008"", ""S86-A009"", ""S86-A010"", ""S86-A011""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metadata,NO_ID::sources/breyley_iranian_musicians_jd/relations_s86_breyley_iranian_musicians.md::241,sources/breyley_iranian_musicians_jd/relations_s86_breyley_iranian_musicians.md,"Relations stabilisées — S86 — Breyley, « 'I Hung around in Your Soundtrack' », 2018",S86,"S86 — Breyley, Iranian Musicians and Joy Division, 2018",,,,,,,,,,,"Gay Jennifer Breyley, 'I Hung around in Your Soundtrack': Affinities with Joy Division among Contemporary Iranian Musicians, 2018",2018,,,,,,,,,,,,relations_stabilisees,2026-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metadata,NO_ID::sources/butt_eshun_fisher_post_punk_then_now/registres_specialises_s26.md::252,sources/butt_eshun_fisher_post_punk_then_now/registres_specialises_s26.md,"Compléments aux registres spécialisés — S26 — *Post-Punk Then and Now*, 2016",S26,"S26 — Butt, Eshun & Fisher (dir.), Post-Punk Then and Now, 2016",,,,,,,,,,,"Gavin Butt ; Kodwo Eshun ; Mark Fisher (dir.), Post-Punk Then and Now, 2016",2016,,,,,,,,,,,,,,registres_specialises,integration_directe,forte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metadata,NO_ID::sources/butt_eshun_fisher_post_punk_then_now/registres_structurants_s26.md::259,sources/butt_eshun_fisher_post_punk_then_now/registres_structurants_s26.md,"Compléments aux registres structurants — S26 — *Post-Punk Then and Now*, 2016",S26,"S26 — Butt, Eshun & Fisher (dir.), Post-Punk Then and Now, 2016",,,,,,,,,,,"Gavin Butt ; Kodwo Eshun ; Mark Fisher (dir.), Post-Punk Then and Now, 2016",2016,,,,,,,,,,,,,,registres_structurants,integration_directe,forte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metadata,NO_ID::sources/butt_eshun_fisher_post_punk_then_now/relations_stabilisees.md::285,sources/butt_eshun_fisher_post_punk_then_now/relations_stabilisees.md,"Relations stabilisées — S26 — *Post-Punk Then and Now*, 2016",S26,"S26 — Butt, Eshun & Fisher (dir.), Post-Punk Then and Now, 2016",,,,,,,,,,,"Gavin Butt ; Kodwo Eshun ; Mark Fisher (dir.), Post-Punk Then and Now, 2016",2016,,,,,,,,,,,,,,relations_stabilisees,integration_directe,forte,"[""S26-A001"", ""S26-A002"", ""S26-A003"", ""S26-A004"", ""S26-A005"", ""S26-A006"", ""S26-A007"", ""S26-A008"", ""S26-A009"", ""S26-A010"", ""S26-A011"", ""S26-A012"", ""S26-A013"", ""S26-A014"", ""S26-A015"", ""S26-A016"", ""S26-A017""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metadata,NO_ID::sources/butt_eshun_fisher_post_punk_then_now/source.md::298,sources/butt_eshun_fisher_post_punk_then_now/source.md,Consignes pour les futurs atomes,S26,"S26 — Butt, Eshun & Fisher (dir.), Post-Punk Then and Now, 2016",,,,,,,,source secondaire critique / source orale éditorialisée,"post-punk, popular modernism, art school, welfare state, autodidaxie, alternative public sphere, post-punk commons, Mark Fisher, Gavin Butt, Kodwo Eshun, Thatcherism, austerity, temporalité culturelle","identifier chapitre et locuteur ; ne pas utiliser comme source factuelle primaire sur Joy Division ; éviter la généralisation non médiée des scènes Leeds, No Wave, Pologne ou The Jam au cas Joy Division","Gavin Butt ; Kodwo Eshun ; Mark Fisher (dir.), Post-Punk Then and Now, 2016",2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metadata,NO_ID::sources/cacciatore_waiting_for_something_to_happen/registers_update_s40_hauntologie_no_future.md::325,sources/cacciatore_waiting_for_something_to_happen/registers_update_s40_hauntologie_no_future.md,"S40 — Compléments aux registres — Hauntologie, no future et futur perdu",S40,"S40 — Cacciatore, ...waiting for something to happen..., 2021",,,,,,,,,,,"Fortunato M. Cacciatore, ...waiting for something to happen..., 2021",2021,compléments registres structurants et spécialisés,2026-05-17,"Passage final sur le past inside the present, les spectres, le no future, la lente cancellazione del futuro, l’attente sans horizon stable et Joy Division comme objet spectral.",citations minimales ; pagination à vérifier avant usage manuscrit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metadata,NO_ID::sources/cacciatore_waiting_for_something_to_happen/relations_stabilisees.md::326,sources/cacciatore_waiting_for_something_to_happen/relations_stabilisees.md,"S40 — Relations stabilisées — Cacciatore, « ...waiting for something to happen... », 2021",S40,"S40 — Cacciatore, ...waiting for something to happen..., 2021",,,,,,,,,,,"Fortunato M. Cacciatore, ...waiting for something to happen..., 2021",2021,relations stabilisées v2,2026-05-17,"Passage final sur le past inside the present, les spectres, le no future, la lente cancellazione del futuro, l’attente sans horizon stable et Joy Division comme objet spectral.",citations minimales ; pagination à vérifier avant usage manuscrit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metadata,NO_ID::sources/cacciatore_waiting_for_something_to_happen/source.md::327,sources/cacciatore_waiting_for_something_to_happen/source.md,"S40 — Source canonique — Cacciatore, « ...waiting for something to happen... », 2021",S40,"S40 — Cacciatore, ...waiting for something to happen..., 2021",,,,,,,,,,,"Fortunato M. Cacciatore, ...waiting for something to happen..., 2021",2021,,,,,,,,,,,,,,,source canonique corrigee et fixee,,,sources/cacciatore_waiting_for_something_to_happen/,https://drive.google.com/file/d/1qyK58ESFhF_yLIULGXV6uIu4lxS2ZNF-/view?usp=drive_link,Alfonso Amendola e Linda Barone - Our vision touched the sky.pdf,"Alfonso Amendola et Linda Barone (dir.), Our Vision Touched the Sky: Fenomenologia dei Joy Division, Roma, Rogas Edizioni, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metadata,NO_ID::sources/cacciatore_waiting_for_something_to_happen/source.md::328,sources/cacciatore_waiting_for_something_to_happen/source.md,9. Consignes pour les futurs atomes,S40,"S40 — Cacciatore, ...waiting for something to happen..., 2021",,,,,,,,source secondaire critique / article philosophico-esthetique,"attente, hauntologie, no future, futur perdu, spectres, reception posthume",ne pas utiliser comme source factuelle principale ; verifier la pagination avant citation ; distinguer l'article du volume collectif,"Fortunato M. Cacciatore, ...waiting for something to happen..., 2021",2021,,,,,Fortunato M. Cacciatore,...waiting for something to happen...,Our Vision Touched the Sky: Fenomenologia dei Joy Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metadata,NO_ID::sources/capozzi_weight_on_their_shoulders/atomes_s43_weight_shoulders.md::330,sources/capozzi_weight_on_their_shoulders/atomes_s43_weight_shoulders.md,"Atomes v2 — S43 — Capozzi, *The weight on their shoulders*, 2021",S43,"S43 — Capozzi, The weight on their shoulders, 2021",,,,,,,,,,,"Capozzi, The weight on their shoulders, 2021",2021,,,,,,,,,,,,,,corpus_atomes,verifie,forte comme source secondaire critique,,,,,,Eugenio Capozzi,The weight on their shoulders. Ian Curtis e la metamorfosi dei baby boomers,False,64-75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metadata,NO_ID::sources/capozzi_weight_on_their_shoulders/registres_specialises_s43.md::346,sources/capozzi_weight_on_their_shoulders/registres_specialises_s43.md,"Registres spécialisés — S43 — Capozzi, *The weight on their shoulders*, 2021",S43,"S43 — Capozzi, The weight on their shoulders, 2021",,,,,,,,,,,"Eugenio Capozzi, The weight on their shoulders. Ian Curtis e la metamorfosi dei baby boomers, 2021",2021,,,"Chapitre complet, p. PDF 64-75",,,,,,,,,,,registres_specialises,verifie,forte comme source secondaire critique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metadata,NO_ID::sources/capozzi_weight_on_their_shoulders/relations_stabilisees.md::357,sources/capozzi_weight_on_their_shoulders/relations_stabilisees.md,"Relations stabilisées — S43 — Capozzi, *The weight on their shoulders*, 2021",S43,"S43 — Capozzi, The weight on their shoulders, 2021",,,,,,,,,,,"Eugenio Capozzi, The weight on their shoulders. Ian Curtis e la metamorfosi dei baby boomers, 2021",2021,,,,,,,,,,,,,,relations_stabilisees,verifie,forte comme source secondaire critique,"[""S43-A001"", ""S43-A002"", ""S43-A003"", ""S43-A004"", ""S43-A005"", ""S43-A006"", ""S43-A007"", ""S43-A008"", ""S43-A009"", ""S43-A010"", ""S43-A011"", ""S43-A012"", ""S43-A013"", ""S43-A014"", ""S43-A015""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metadata,NO_ID::sources/capozzi_weight_on_their_shoulders/source.md::368,sources/capozzi_weight_on_their_shoulders/source.md,9. Consignes pour les futurs atomes,S43,"S43 — Capozzi, The weight on their shoulders, 2021",,,,,,,,source secondaire critique / essai historico-générationnel,"Ian Curtis, baby boomers, révolte sans utopie, nostalgie, communauté perdue, Closer, Decades",ne pas utiliser comme source primaire ; vérifier toutes les paroles ; croiser les faits biographiques ; ne pas psychologiser Curtis,"Eugenio Capozzi, The weight on their shoulders. Ian Curtis e la metamorfosi dei baby boomers, 2021",2021,,,,,Eugenio Capozzi,The weight on their shoulders. Ian Curtis e la metamorfosi dei baby boomers,Our Vision Touched the Sky: Fenomenologia dei Joy Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metadata,NO_ID::sources/carter_hulme_youth_race_inner_city/source.md::369,sources/carter_hulme_youth_race_inner_city/source.md,"S06 — Carter, « Youth, race and the inner-city estate », 2021/2023",S06,"S06 — Carter, Youth, race and the inner-city estate, 2021/2023",,,article universitaire open access / histoire urbaine et orale,,,,,,,,"Isabelle Carter, Youth, race and the inner-city estate: narratives of everyday life in Manchester’s Hulme, 1970–1994, 2021/2023",2021/2023,,,,,,,,,,,,,,,verifie,forte,,,https://drive.google.com/file/d/1ed8kcUVhNaYTOqax9NAZIj027LI5m3cm/view?usp=drive_link,youth_race_and_the_innercity_estate_narratives_of_everyday_life_in_manchesters_hulme_19701994.pdf,,Isabelle Carter,"Youth, race and the inner-city estate: narratives of everyday life in Manchester’s Hulme, 1970–1994",,,2021,2023,https://doi.org/10.1017/S0963926821000754,S06_carter_youth_race_inner_city_hulme_1970_1994.pdf,Urban History,50,248-263,10.1017/S0963926821000754,CC BY,"[""Chapitre 1""]","[""Chapitre 14""]",source secondaire universitaire ; histoire orale ; article open access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metadata,NO_ID::sources/carter_hulme_youth_race_inner_city/source.md::370,sources/carter_hulme_youth_race_inner_city/source.md,Consignes pour les futurs atomes,S06,"S06 — Carter, Youth, race and the inner-city estate, 2021/2023",,,,,,,,source secondaire universitaire ; histoire orale ; article open access,"Hulme, inner city, race, jeunesse, stigmatisation, témoignages, oral history, Hulme Crescents, représentations médiatiques","ne pas utiliser comme source directe sur Joy Division ; distinguer représentation, témoignage et expérience vécue ; croiser avec S20 pour la morphologie urbaine de Hulme","Isabelle Carter, Youth, race and the inner-city estate: narratives of everyday life in Manchester’s Hulme, 1970–1994, 2021/2023",2021/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metadata,NO_ID::sources/cashell_spectral_presences_new_order/atoms_s88_cashell_spectral_presences.md::384,sources/cashell_spectral_presences_new_order/atoms_s88_cashell_spectral_presences.md,"Atomes v2 — S88 — Cashell, « Things That Aren't There : Spectral Presences in Musical Absences – The Transition from Joy Division to New Order », 2018",S88,"S88 — Cashell, Spectral Presences: Transition from Joy Division to New Order, 2018",,,,,,,,,,,"Kieran Cashell, Things That Aren't There: Spectral Presences in Musical Absences – The Transition from Joy Division to New Order, 2018",2018,,,,,,,,,v2,2026-05-26,"[""S88-A001"", ""S88-A002"", ""S88-A003"", ""S88-A004"", ""S88-A005"", ""S88-A006"", ""S88-A007"", ""S88-A008"", ""S88-A009"", ""S88-A010"", ""S88-A011""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metadata,NO_ID::sources/cashell_spectral_presences_new_order/relations_s88_cashell_spectral_presences.md::396,sources/cashell_spectral_presences_new_order/relations_s88_cashell_spectral_presences.md,"Relations stabilisées — S88 — Cashell, « Things That Aren't There », 2018",S88,"S88 — Cashell, Spectral Presences: Transition from Joy Division to New Order, 2018",,,,,,,,,,,"Kieran Cashell, Things That Aren't There: Spectral Presences in Musical Absences – The Transition from Joy Division to New Order, 2018",2018,,,,,,,,,,,,relations_stabilisees,2026-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
